"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.27171,-0.00086872,0,-0.042116,1,0.24183,0.5,0.171,0.171
-0.27068,-0.00085409,0,-0.04233,1,0.24324,0.5,0.172,0.172
-0.26965,-0.00083946,0,-0.042544,1,0.24466,0.5,0.173,0.173
-0.26862,-0.00082483,0,-0.042758,1,0.24607,0.5,0.174,0.174
-0.26759,-0.0008102,0,-0.042972,1,0.24749,0.5,0.175,0.175
-0.26656,-0.00079557,0,-0.043186,1,0.2489,0.5,0.176,0.176
-0.26554,-0.00078095,0,-0.0434,1,0.25032,0.5,0.177,0.177
-0.26451,-0.00076632,0,-0.043615,1,0.25173,0.5,0.178,0.178
-0.26348,-0.00075169,0,-0.043829,1,0.25314,0.5,0.179,0.179
-0.26245,-0.00073706,0,-0.044043,1,0.25456,0.5,0.18,0.18
-0.26148,-0.00071127,0,-0.044248,1,0.25597,0.5,0.181,0.181
-0.2605,-0.00068548,0,-0.044452,1,0.25739,0.5,0.182,0.182
-0.25953,-0.00065969,0,-0.044657,1,0.2588,0.5,0.183,0.183
-0.25855,-0.0006339,0,-0.044862,1,0.26022,0.5,0.184,0.184
-0.25758,-0.00060812,0,-0.045067,1,0.26163,0.5,0.185,0.185
-0.2566,-0.00058233,0,-0.045272,1,0.26304,0.5,0.186,0.186
-0.25563,-0.00055654,0,-0.045477,1,0.26446,0.5,0.187,0.187
-0.25465,-0.00053075,0,-0.045682,1,0.26587,0.5,0.188,0.188
-0.25368,-0.00050496,0,-0.045887,1,0.26729,0.5,0.189,0.189
-0.2527,-0.00047918,0,-0.046092,1,0.2687,0.5,0.19,0.19
-0.25176,-0.00044341,0,-0.046288,1,0.27011,0.5,0.191,0.191
-0.25083,-0.00040765,0,-0.046484,1,0.27153,0.5,0.192,0.192
-0.24989,-0.00037189,0,-0.04668,1,0.27294,0.5,0.193,0.193
-0.24895,-0.00033612,0,-0.046876,1,0.27436,0.5,0.194,0.194
-0.24801,-0.00030036,0,-0.047073,1,0.27577,0.5,0.195,0.195
-0.24707,-0.0002646,0,-0.047269,1,0.27719,0.5,0.196,0.196
-0.24614,-0.00022883,0,-0.047465,1,0.2786,0.5,0.197,0.197
-0.2452,-0.00019307,0,-0.047661,1,0.28001,0.5,0.198,0.198
-0.24426,-0.00015731,0,-0.047858,1,0.28143,0.5,0.199,0.199
-0.24332,-0.00012154,0,-0.048054,1,0.28284,0.5,0.2,0.2
-0.24241,-7.7007e-05,0,-0.048242,1,0.28426,0.5,0.201,0.201
-0.2415,-3.2471e-05,0,-0.04843,1,0.28567,0.5,0.202,0.202
-0.24059,1.2064e-05,0,-0.048618,1,0.28709,0.5,0.203,0.203
-0.23967,5.66e-05,0,-0.048806,1,0.2885,0.5,0.204,0.204
-0.23876,0.00010114,0,-0.048993,1,0.28991,0.5,0.205,0.205
-0.23785,0.00014567,0,-0.049181,1,0.29133,0.5,0.206,0.206
-0.23694,0.00019021,0,-0.049369,1,0.29274,0.5,0.207,0.207
-0.23603,0.00023474,0,-0.049557,1,0.29416,0.5,0.208,0.208
-0.23512,0.00027928,0,-0.049745,1,0.29557,0.5,0.209,0.209
-0.2342,0.00032382,0,-0.049933,1,0.29698,0.5,0.21,0.21
-0.23331,0.00037603,0,-0.050113,1,0.2984,0.5,0.211,0.211
